hospitalName,evaluation,address
민이비인후과의원,4등급,"대전광역시 중구 대종로 310 402호 (부사동, 동양빌딩)"
민이비인후과의원,1등급,서울특별시 강남구 테헤란로26길 10 성보빌딩 2층 (역삼동)
민이비인후과의원,5등급,경기도 수원시 권선구 호매실로218번길 128 3층 (호매실동)
민이비인후과의원,2등급,서울특별시 영등포구 여의대방로 197 2층 (신길동)
민전산부인과의원,2등급,"서울특별시 구로구 경인로 322 1,2,4,5층 (개봉동)"
민정식소아청소년과의원,3등급,부산광역시 사상구 사상로293번길 5 (덕포동)
민정식엠엔엠소아청소년과의원,3등급,"경기도 구리시 장자대로 72 3층 304호 (수택동, 미림프라자)"
민준식이비인후과의원,3등급,"서울특별시 양천구 목동서로 67 (목동, 우성에펠타운빌딩)"
민중기외과의원,1등급,"부산광역시 연제구 반송로 33 (연산동, 2층 일부)"
민트병원,2등급,서울특별시 송파구 정의로8길 7 한스 (문정동)
민트소아청소년과의원,1등급,"경기도 고양시 일산서구 하이파크3로 84 (덕이동,신성프라자403호)"
민트이비인후과의원,1등급,"서울특별시 강남구 자곡로 201 201호,202호 (자곡동, 강남더샵라르고빌딩)"
민현조내과의원,1등급,"서울특별시 노원구 동일로 1101 5층 (공릉동, 하니빌딩)"
민현주김홍준내과의원,3등급,"경상남도 진주시 순환로 527 (평거동, 좋은메디컬 602호)"
민현준내과의원,2등급,서울특별시 은평구 통일로 626 유림빌딩 3층 (녹번동)
믿음내과의원,1등급,"경기도 성남시 분당구 정자로 144 103~104호 (정자동, 우성4단지상가)"
밀양미래연합의원,2등급,경상남도 밀양시 북성로 10 (내이동)
밀양병원,5등급,경상남도 밀양시 밀양대로 1823 (삼문동)
밀양정통의원,3등급,경상남도 밀양시 중앙로 357 (내일동)
밀양정형외과의원,1등급,경상남도 밀양시 중앙로 451 (내이동)
바디프랜드부속의원,2등급,"서울특별시 강남구 양재천로 163 5층 (도곡동, 바디프랜드도곡타워)"
바로바디의원,1등급,"서울특별시 송파구 송파대로 98 5층 502호 (문정동, 선도빌딩)"
바로바로의원,1등급,"서울특별시 도봉구 시루봉로 290 (도봉동, 1~3층)"
바로선병원,4등급,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)"
바로세움의원,1등급,경기도 수원시 권선구 탑동로 66 2층 (탑동)
바로이비인후과의원,5등급,경기도 김포시 김포한강4로 507 2층 207호 (구래동)
바로이비인후과의원,5등급,"인천광역시 서구 청라루비로 93 403호 (경서동, 루비타워)"
바로정형외과의원,2등급,"경상북도 포항시 북구 침촌마을길 12-9 (장성동, 바로정형외과내과의원)"
바로편한신경외과의원,3등급,강원도 원주시 남원로 528-31 신세계프라자 7층 (단구동)
바룸내과의원,1등급,"부산광역시 동래구 금강공원로 2 3층 301, 302호 (온천동, sk허브올리브)"
바른가정의학과의원,4등급,"충청남도 천안시 동남구 대흥로 118 2,3층 (사직동)"
바른길병원,2등급,부산광역시 해운대구 선수촌로 144 (반여동)
바른나무신경외과의원,1등급,"인천광역시 연수구 신송로 164 5층 (송도동, 아데니움프라자)"
바른내과의원,3등급,광주광역시 광산구 하남대로261번길 8 3층 (신가동)
바른마디병원,2등급,경기도 성남시 중원구 광명로 330 (금광동)
바른명마취통증의학과의원,2등급,서울특별시 도봉구 덕릉로 238 (창동)
바른몸의원,5등급,"대전광역시 대덕구 동춘당로94번길 11-21 송촌은혜프라자 2,5,6층 (송촌동)"
바른몸의원,3등급,전라북도 순창군 순창읍 장류로 372 ()
바른병원,4등급,경기도 이천시 경충대로 2543 (진리동)
바른병원,1등급,부산광역시 서구 보수대로 9 4~12층 (충무동1가)
바른삼성이비인후과의원,1등급,인천광역시 남동구 담방로 45 희망프라자 2층 201호일부호 (만수동)
바른성모내과의원,5등급,"인천광역시 남동구 남동대로 860 1동 201호 (간석동, 래미안자이상가)"
바른성모신경외과의원,2등급,"서울특별시 관악구 남부순환로 1761 3층 (봉천동, 서원빌딩)"
바른세상병원,1등급,경기도 성남시 분당구 야탑로75번길 5 중앙빌딩 지1~5층 (야탑동)
바른소아청소년과의원,3등급,경기도 시흥시 은계번영길 2 서미프라자 303호 (은행동)
바른소아청소년과의원,3등급,경기도 김포시 전원로 32 전원마을월드1단지아파트 상가동 2층 203호 (운양동)
바른속내과의원,1등급,경상북도 경산시 성암로 42 3층 (옥산동)
바른속내과의원,1등급,대구광역시 북구 동북로 291 401호 (복현동)
바른손외과의원,2등급,대전광역시 중구 보문로 78 (부사동)
바른수정형외과의원,1등급,경기도 화성시 남양읍 시청로 109 ()
바른숨이비인후과의원,3등급,서울특별시 강서구 강서로 385 우성에스비타워 6층 (마곡동)
바른신경외과의원,3등급,인천광역시 부평구 평천로 402 (삼산동)
바른안과의원,5등급,광주광역시 북구 서하로 385 2층 (문흥동)
바른연세외과의원,3등급,경기도 부천시 부천로 364 2층 (도당동)
바른연합정형외과의원,1등급,"대구광역시 중구 달구벌대로 1988-3 1,6,7층 (남산동)"
바른의원,1등급,전라북도 완주군 봉동읍 봉동동서로 144 2층
바른이비인후과의원,4등급,"서울특별시 서초구 서초대로 309 2층 201호 (서초동, 장안빌딩)"
바른이비인후과의원,5등급,광주광역시 동구 남문로 669 (학동)
바른이비인후과의원,3등급,"부산광역시 남구 수영로 323 601호 (대연동, 태강프라자)"
바른이비인후과의원,1등급,"서울특별시 노원구 동일로203가길 29 260~262호 (중계동, 브라운스톤중계)"
바른자세의원,2등급,"인천광역시 미추홀구 미추홀대로 561 (주안동, 남부종합상가)"
바른재활의학과의원,1등급,"서울특별시 동작구 장승배기로 119 1층 (노량진동, 현대치과의원)"
바른재활의학과의원,1등급,서울특별시 노원구 동일로 1066 노원새마을금고 (공릉동)
바른정의원,5등급,제주특별자치도 제주시 성지로 76-1 (일도이동)
바른정형외과내과의원,1등급,전라남도 여수시 시청로 42 (학동)
바른정형외과의원,1등급,경기도 고양시 일산서구 일산로 676 2층 (대화동)
바른정형외과의원,5등급,"경기도 시흥시 함송로29번길 5 1,3,4층 (정왕동)"
바른정형외과의원,1등급,경기도 수원시 장안구 장안로 76 (정자동)
바른정형외과의원,1등급,충청남도 공주시 신관로 54-1 1~5층 (신관동)
바른정형외과의원,1등급,경기도 광명시 도덕로 24 2층 (광명동)
바른정형외과의원,1등급,경상북도 경주시 안강읍 비화원로 76 1~2층
바오로의원,3등급,경기도 고양시 일산서구 일중로 46 2층 (일산동)
바이오이비인후과의원,4등급,경기도 광주시 중앙로 101 5층 (경안동)
바이오이비인후과의원,4등급,경기도 광주시 곤지암읍 곤지암로 45 45
박가정의원,1등급,울산광역시 동구 진성4길 57 (전하동)
박가정의원,5등급,"경기도 안양시 동안구 경수대로 430 203호 (호계동, 이편한세상대림아파트상가A동)"
박가정의학과의원,2등급,부산광역시 사하구 제석로 68 (당리동)
박가정의학과의원,3등급,인천광역시 미추홀구 소성로 333 (문학동)
박가정의학과의원,1등급,대구광역시 달서구 신당로 56 (신당동)
박가정의학과의원,5등급,경상북도 경주시 현곡면 금장5길 8-4 2층
박가정의학과의원,3등급,"인천광역시 부평구 동수로 168-1 2,3층 (부개동)"
박가정의학과의원,2등급,서울특별시 성북구 월계로 52 지상3층 303호 (하월곡동)
박가정의학과의원,1등급,"광주광역시 광산구 임방울대로 142-12 201,203호 (운남동, 삼성아파트)"
박건태이비인후과의원,1등급,경기도 부천시 소안로 10 4층 (소사본동)
박경대 내과의원,3등급,경상북도 경주시 화랑로 80 (서부동)
박경란소아청소년과의원,4등급,경기도 구리시 체육관로80번길 9 2층 (수택동)
박경석신경외과의원,1등급,"충청남도 부여군 부여읍 성왕로 192 2,3,4층"
박경식신경외과의원,1등급,제주특별자치도 제주시 서광로 263 (삼도일동)
박경욱내과의원,1등급,경상북도 김천시 김천로 62 (평화동)
박경철외과의원,4등급,전라남도 여수시 소라면 덕양로 397 1층
박관식내과의원,5등급,부산광역시 강서구 신호산단2로 21 204호 (신호동)
박광선소아청소년과의원,4등급,경상남도 창원시 진해구 안골로 344 용원마이다스빌딩 3층 303호 (용원동)
박광식내과의원,5등급,인천광역시 계양구 경명대로 1043 (계산동)
박규섭내과의원,1등급,인천광역시 미추홀구 토금남로 31 (용현동)
박규호내과의원,4등급,서울특별시 성북구 돌곶이로 60 지상2층 (석관동)
박근석김진휘내과의원,1등급,"경기도 수원시 영통구 덕영대로 1505 (영통동, 늘푸른빌딩 201호)"
박근수내과의원,1등급,경상남도 김해시 가락로 5 (부원동)
박근태내과의원,1등급,"서울특별시 은평구 은평로 29 2층,3층 (신사동)"
박기서내과의원,4등급,경기도 수원시 장안구 수성로 253 (정자동)
박기서내과의원,1등급,대전광역시 중구 목중로 12 (중촌동)
박기수내과의원,1등급,대구광역시 달서구 용산로 226 2층 (용산동)
박기현이비인후과의원,3등급,부산광역시 사하구 낙동남로 1392 (하단동)
박기호내과의원,1등급,"서울특별시 강서구 강서로 267 3층 G030호 (내발산동, 송화쇼핑센터)"
박남규내과의원,5등급,충청북도 청주시 흥덕구 사직대로 68 2층 (복대동)
박남미이비인후과의원,2등급,서울특별시 광진구 뚝섬로 497 (자양동)
박내과의원,3등급,"경기도 부천시 역곡로 7 301~302호 (역곡동, 스카이빌딩)"
박내과의원,5등급,충청남도 당진시 교동길 90 (읍내동)
박내과의원,4등급,경상남도 양산시 북안남6길 12 (북부동)
박내과의원,4등급,서울특별시 양천구 목동중앙북로 24 (목동)
박내과의원,3등급,광주광역시 광산구 풍영로 37 (월곡동)
박내과의원,1등급,경상남도 사천시 사천읍 읍내1길 57 (사천읍)
박내과의원,1등급,울산광역시 울주군 언양읍 헌양길 24 (언양읍)
박내과의원,1등급,서울특별시 양천구 신월로 165 2층 (신월동)
박내과의원,2등급,부산광역시 연제구 거제천로87번길 40 (거제동)
박내과의원,2등급,전라남도 담양군 담양읍 지침3길 7 (담양읍)
박내과의원,1등급,"충청남도 아산시 시민로 293 2층 (용화동, 신협용화지점)"
박내과의원,3등급,서울특별시 강남구 논현로85길 7 (역삼동)
박내과의원,1등급,울산광역시 울주군 청량면 덕하장터길 3 (청량면)
박내과의원,3등급,경상남도 함안군 가야읍 남경길 32 (함안메디컬센터 2층)
박내과의원,1등급,경상남도 거제시 옥포로 228 (옥포동)
박내과의원,2등급,"서울특별시 성동구 성수일로10길 32 2층 201, 202호 (성수동2가, 창미빌딩)"
박내과의원,3등급,"인천광역시 남동구 구월로 376 201호 (만수동, 정은프라자)"
박내과의원,2등급,전라북도 완주군 봉동읍 봉동로 129 (봉동읍)
박내과의원,5등급,"경기도 고양시 덕양구 토당로 115 212호 (토당동, 금호프라자)"
박내과의원,5등급,서울특별시 강북구 도봉로 337 (수유동)
박내과의원,1등급,충청북도 제천시 명륜로 97 (의림동)
박내과의원,1등급,경기도 안성시 중앙로 368 3층 (석정동)
박내과의원,5등급,서울특별시 중랑구 망우로 192 1층 (상봉동)
박내과의원,1등급,"경기도 안양시 동안구 동안로 120 303호 (호계동, 올림픽스포츠센터)"
박내과의원,1등급,대구광역시 수성구 수성로 298-1 (수성동2가)
박내과의원,1등급,인천광역시 미추홀구 경원대로 848 주안태흥프라자 3층 304호 (주안동)
박내과의원,2등급,"경상남도 창원시 마산회원구 3·15대로 605-3 (석전동, 박의원)"
박노춘내과의원,1등급,부산광역시 수영구 연수로 376 1층 (광안동)
박대양의원,5등급,서울특별시 마포구 망원로 75 (망원동)
박도수정형외과의원,1등급,대구광역시 서구 고성로 8-2 1~2층 (비산동)
박도영비뇨기과의원,1등급,전라남도 영광군 영광읍 신남로 181 (영광읍)
박동건소아과의원,1등급,경기도 부천시 장말로 198 (상동)
"박동석,박민준이비인후과의원",5등급,"경상남도 창원시 마산합포구 합포로 69 (동성동, 박동석의원)"
박동수외과의원,4등급,경기도 화성시 효행로 1385 (반월동)
박동우이비인후과의원,1등급,"경기도 의왕시 포일로 26 (내손동, 건형상가)"
박동욱정형외과의원,1등급,"광주광역시 서구 상무중앙로 9 3층 302호 (치평동, 동양빌딩)"
박동준내과의원,5등급,경기도 수원시 팔달구 중부대로 194 (인계동)
박동훈내과의원,1등급,"강원도 원주시 봉화로 22 6층 (단계동, 더파크타워)"
박래경소아과의원,1등급,충청남도 홍성군 홍성읍 내포로 6 (홍성읍)
박명석내과의원,3등급,서울특별시 영등포구 신길로 149 2층 (신길동)
박명옥내과의원,1등급,강원도 영월군 영월읍 단종로 10 1층층
박무정내과의원,4등급,인천광역시 남동구 남촌동로25번길 4 2층 (남촌동)
박무정의원,1등급,부산광역시 연제구 월드컵대로 241 2~3층 (거제동)
박문호소아청소년과의원,4등급,"대구광역시 중구 동덕로 91 6층 (대봉동, 파이론 빌딩)"
박문흠이비인후과의원,4등급,대구광역시 서구 달서로 184-1 3동 2층 (비산동)
박미란소아청소년과의원,1등급,서울특별시 관악구 남부순환로 1938 (봉천동)
박미애가정의학과의원,5등급,경상북도 칠곡군 석적읍 석적로 955-6 (석적읍)
박민규이비인후과의원,4등급,서울특별시 종로구 지봉로 77-3 2층 (창신동)
박민근외과의원,3등급,부산광역시 금정구 서동중심로 15 (서동)
박민기내과의원,3등급,부산광역시 연제구 중앙대로 1033 2층 (연산동)
박병권내과의원,2등급,"서울특별시 마포구 월드컵북로 230 3층 3호 (중동, 현대상가)"
박병규내과의원,3등급,"서울특별시 강북구 도봉로 190 (미아동, 비전빌딩)"
박병도내과의원,1등급,인천광역시 미추홀구 매소홀로 474 (학익동)
박병섭내과의원,1등급,서울특별시 은평구 통일로 901 2층 (갈현동)
박병암이비인후과의원,4등급,전라북도 전주시 덕진구 건산로 232 (인후동1가)
박병엽내과의원,1등급,부산광역시 연제구 거제대로 158 (거제동)
박병원,1등급,"울산광역시 중구 학성로 121 지하1, 2~7층 (옥교동)"
박병익내과의원,1등급,서울특별시 강남구 테헤란로87길 47 3층 (삼성동)
박병현내과의원,1등급,전라북도 익산시 하나로 447 (영등동)
박붕연내과의원,1등급,대전광역시 유성구 반석로 23 (반석동)
박상균내과의원,1등급,경기도 성남시 수정구 수정로 137 2층 (태평동)
박상내과의원,1등급,서울특별시 광진구 뚝섬로 587 2층 (자양동)
박상면내과의원,4등급,울산광역시 동구 동해안로 28 (동부동)
박상배내과의원,1등급,전라북도 전주시 덕진구 송천중앙로 157 (송천동1가)
박상석내과의원,1등급,경기도 부천시 삼작로 98 (내동)
박상수내과의원,1등급,서울특별시 마포구 독막로 22 2층 (합정동)
박상수소아청소년과의원,2등급,울산광역시 중구 태화로 172 (태화동)
박상열내과의원,1등급,대구광역시 남구 명덕로 164-1 (대명동)
박상욱가정의학과의원,1등급,부산광역시 동래구 동래로148번길 3 (복천동)
박상조소아청소년과의원,1등급,부산광역시 사하구 하신중앙로 184 111호 (신평동)
박상준내과의원,1등급,충청남도 계룡시 엄사면 번영로 44 44
박상준소아청소년과의원,2등급,"경기도 남양주시 진접읍 해밀예당1로 30-9 305,306호 (폴리프라자 Ⅰ)"
박상진내과의원,1등급,전라남도 여수시 여서1로 61 (여서동)
박상현내과의원,5등급,"경상북도 영주시 중앙로 122 (하망동, 제2경북약국)"
박상현내과의원,1등급,"경기도 용인시 기흥구 마북로 159 (마북동, 한성프라자)"
박상현소아청소년과의원,1등급,"경기도 광명시 광명로 877 한진B상가동 2304호 (광명동, 한진아파트)"
박상호의원,3등급,"서울특별시 노원구 동일로 1280 201호 (중계동, 시영2단지상가)"
박상후이비인후과의원,3등급,경상북도 포항시 북구 중앙로 261 (남빈동)
박상희내과의원,1등급,부산광역시 사하구 다대로 555 (다대동)
박샘소아청소년과의원,1등급,"경기도 평택시 중앙로 176 222호 (합정동, SK뷰주상복합2)"
박서울소아청소년과의원,1등급,경기도 하남시 신장동로 162 2층 (신장동)
박석규내과의원,1등급,"서울특별시 노원구 한글비석로 383 1층 200호 (중계동, 삼창타워프라자)"
박석준성모내과의원,2등급,"서울특별시 영등포구 시흥대로 675 2층 (대림동, 삼성YJ그랜드빌딩)"
박석채내과의원,1등급,전라남도 영광군 영광읍 천년로12길 45 (영광읍)
박선호이비인후과의원,5등급,대구광역시 서구 서대구로 66 3층일부층 (평리동)
박성규내과의원,1등급,서울특별시 서대문구 영천시장길 70 (옥천동)
박성균소아청소년과의원,2등급,서울특별시 서대문구 문화촌길 6 승희빌딩 5층 (홍제동)
박성기소아청소년과의원,2등급,"부산광역시 사하구 하신번영로 233 227동 201~203호 (하단동, 가락타운2단지아파트상가)"
박성수소아청소년과의원,1등급,부산광역시 해운대구 해운대로76번길 58 2층 (재송동)
박성신소아과의원,2등급,서울특별시 관악구 신원로 16 (신림동)
박성원이비인후과의원,5등급,경상남도 거제시 옥포로 221 (옥포동)
박성제내과의원,3등급,서울특별시 노원구 동일로 1545 (상계동)
박성철소아청소년과의원,5등급,부산광역시 금정구 두실로 36 (남산동)
박성희소아청소년과의원,2등급,경상남도 창원시 의창구 읍성로 49-1 (중동)
박세원내과의원,5등급,전라남도 여수시 충무로 38-2 (교동)
박세종내과의원,3등급,광주광역시 남구 대남대로 335 (월산동)
박소배내과의원,1등급,서울특별시 강남구 남부순환로 2935 (대치동)
박소아과의원,4등급,경기도 포천시 중앙로115번길 4 (신읍동)
박소아과의원,4등급,전라남도 나주시 동점문길 7 2층 (성북동)
박소아과의원,4등급,경기도 동두천시 동광로 67-2 (생연동)
박소아과의원,1등급,"경기도 부천시 조마루로 137 204호 (중동, 포도마을삼보상가)"
박소아과의원,1등급,"경기도 고양시 일산동구 강송로 169 (마두동, 한주프라자202호)"
박소아과의원,2등급,"서울특별시 성동구 독서당로 173 205호 (옥수동, 극동그린아파트상가)"
박소아과의원,1등급,서울특별시 용산구 신흥로 93 (용산동2가)
박소아과의원,1등급,경기도 이천시 장호원읍 장감로87번길 4 (장호원읍)
박소아청소년과의원,1등급,"경기도 수원시 장안구 송원로 81 (조원동, 메가플러스)"
박소아청소년과의원,1등급,부산광역시 동구 초량상로 92 (초량동)
박소아청소년과의원,3등급,인천광역시 연수구 용담로 11 2층 (청학동)
박소아청소년과의원,3등급,"경기도 파주시 시청로 209 2층 (아동동, 호수빌딩)"
박소아청소년과의원,4등급,광주광역시 북구 면앙로 32 (용봉동)
박소아청소년과의원,1등급,충청북도 진천군 진천읍 중앙동로 100 100
박소아청소년과의원,2등급,부산광역시 기장군 기장읍 차성동로 63 (기장읍)
박소아청소년과의원,1등급,서울특별시 성북구 보문로 93 4층 (보문동5가)
박소아청소년과의원,5등급,"경상남도 김해시 율하1로 106 402호 (율하동, 네오프라자)"
박소아청소년과의원,4등급,인천광역시 부평구 경원대로 1238 2층 (산곡동)
박소아청소년과의원,1등급,"서울특별시 강남구 광평로19길 10 205호 (수서동, 까치마을상가)"
박소아청소년과의원,1등급,경기도 남양주시 화도읍 수레로 1234-26 205호 (창현신명상가)
박소영소아청소년과의원,3등급,"인천광역시 부평구 길주남로 157 303호 (부개동, 태성프라자)"
박수만이비인후과의원,1등급,"경기도 구리시 경춘로 220 2층 (수택동, 명진빌딩)"
박수언소아청소년과의원,1등급,"경기도 용인시 수지구 현암로 121 202,203호 (죽전동, 에머랄드존)"
박수연소아청소년과의원,3등급,울산광역시 남구 대암로 69 301~303호 (야음동)
박수연외과의원,1등급,부산광역시 연제구 과정로 336 (연산동)
박순용정형외과의원,4등급,서울특별시 강북구 노해로 81 (수유동)
박승남소아과의원,2등급,"경기도 의정부시 녹양로 77 1,2층 (녹양동)"
박승민내과의원,1등급,전라북도 장수군 장수읍 장천로 180 ()
박승억내과의원,1등급,대전광역시 서구 탄방로7번길 65 2층 (탄방동)
박승일내과의원,1등급,"광주광역시 북구 동문대로 85 1,2층 (우산동)"
박승현내과의원,3등급,울산광역시 울주군 온양읍 온양로 105 3층
박시영이비인후과의원,1등급,부산광역시 사상구 사상로 246 5층 (괘법동)
박신경외과의원,5등급,"경상북도 상주시 상산로 241 102호 (남성동, 메디컬센터)"
박신성내과의원,4등급,서울특별시 송파구 백제고분로 162 2층 (잠실동)
박애의원,4등급,경기도 시흥시 매화2로 3 (매화동)
박애의원,5등급,부산광역시 사상구 사상로 289 (덕포동)
박앤김내과의원,3등급,서울특별시 성북구 장위로 127-1 한양빌딩 5층 (장위동)
박앤박 내과외과 의원,2등급,전라북도 군산시 월명로 216 (수송동)
박양훈내과의원,3등급,경상남도 김해시 가락로 27 (부원동)
박언우이비인후과의원,4등급,대전광역시 서구 문정로 174 2층 (둔산동)
박언휘내과의원,2등급,"대구광역시 수성구 화랑로 50 4층 (만촌동, 자삼빌딩)"
박영경소아과의원,5등급,"광주광역시 서구 화정로 250 2,3,4층 (화정동)"
박영내과의원,2등급,부산광역시 해운대구 재반로 221-1 2층 (반여동)
박영록신경외과의원,1등급,강원도 홍천군 홍천읍 홍천로 366 (홍천읍)
박영민이비인후과의원,3등급,서울특별시 영등포구 신길로 42 2층 (신길동)
박영배내과의원,1등급,"전라남도 여수시 망마로 21 1,2층 (학동)"
박영서이비인후과의원,5등급,서울특별시 서초구 사임당로 181 (서초동)
박영우의원,4등급,"경기도 파주시 적성면 청송로 1026-1 (풍년프라자 2층 (202호,203호,204호))"
박영우정형외과의원,2등급,서울특별시 강동구 구천면로 295 (천호동)
박영준내과의원,1등급,"서울특별시 마포구 월드컵로 155 2층 (망원동, 가은빌딩)"
박영준이비인후과의원,5등급,"강원도 춘천시 방송길 104 (온의동, 스카이빌딩 5층)"
박영진의원,1등급,"경상남도 김해시 삼안로111번길 5 (안동, 한일아파트 상가)"
박영호내과의원,3등급,"경상남도 창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)"
박영훈내과의원,2등급,인천광역시 동구  송림로 113 3층 (송림동)
박외과의원,4등급,충청남도 공주시 번영1로 79 (신관동)
박외과의원,3등급,충청남도 예산군 예산읍 예산로194번길 2 2
박외과의원,3등급,전라남도 목포시 산정로50번길 3 (산정동)
박외과의원,1등급,전라남도 여수시 중앙로 7-1 2층 (서교동)
박외과의원,4등급,경상남도 창원시 의창구 대산면 주남로 574-8 (대산면)
박외과의원,1등급,전라북도 군산시 미원로 120 (미원동)
박외과의원,2등급,충청남도 보령시 구시청길 49 (동대동)
박외과이내과연합의원,3등급,경상북도 칠곡군 왜관읍 중앙로2길 36 (왜관읍)
박용선내과의원,4등급,전라남도 나주시 영산로 5406 (성북동)
박용현내과의원,5등급,"서울특별시 중랑구 용마산로 438 3층 (면목동, 동원빌딩)"
박우생소아청소년과의원,2등급,"경상남도 창원시 진해구 풍호로 41 (자은동, 407호)"
박우용외과의원,5등급,대구광역시 중구 태평로 287 (동인동3가)
박운식내과의원,5등급,충청북도 충주시 중앙로 73 2층 (충의동)
박원대내과의원,1등급,울산광역시 남구 중앙로 241 (신정동)
박원종내과의원,1등급,경기도 김포시 통진읍 김포대로2230번길 21-3 1층
박원주이비인후과의원,1등급,서울특별시 영등포구 도림로 322 3층 (신길동)
박유인소아청소년과의원,5등급,강원도 강릉시 솔올로 25 2층 (교동)
박유정내과의원,3등급,"경기도 고양시 일산동구 중앙로 1182 (마두동, 일산올림픽스포츠센터 지하 1층)"
박은재내과의원,2등급,전라북도 전주시 완산구 태평5길 18 (서노송동)
박은주소아청소년과의원,1등급,"서울특별시 양천구 신정로 312 (신정동, 뉴프라자)"
박은호외과의원,1등급,대구광역시 서구 서대구로 58 (내당동)
박응원미모아의원,4등급,경상북도 포항시 남구 오천읍 냉천로 306 2~4층
박의수소아청소년과의원,1등급,서울특별시 도봉구 도봉로 733 (도봉동)
박의원,3등급,경기도 남양주시 화도읍 비룡로 113 301호 (지호프라자)
박의현구심내과의원,1등급,대구광역시 중구 달구벌대로 2208 (대봉동)
박이비인후과의원,1등급,경기도 평택시 중앙2로 19 (평택동)
박이비인후과의원,1등급,경상북도 포항시 북구 중앙로 237 (죽도동)
박이비인후과의원,1등급,대구광역시 남구 대명로 174 (대명동)
박이비인후과의원,5등급,"부산광역시 동구 중앙대로 383 (수정동, 메디칼센터)"
박이비인후과의원,4등급,"부산광역시 사하구 장림번영로 40 4층 (장림동, 장림동메디칼)"
박이비인후과의원,5등급,충청북도 청주시 상당구 상당로 62 (문화동)
박이비인후과의원,1등급,"경기도 수원시 장안구 수성로258번길 3 201호 (영화동, 메가플러스)"
박이비인후과의원,1등급,서울특별시 동작구 노량진로 152 (노량진동)
박이비인후과의원,1등급,대구광역시 북구 대천로 93 (동천동)
박이비인후과의원,3등급,전라북도 정읍시 중앙로 160 (시기동)
박이비인후과의원,1등급,전라남도 여수시 소호로 483 (소호동)
박이비인후과의원,1등급,대전광역시 중구 동서대로 1403 (목동)
박이비인후과의원,4등급,강원도 춘천시 금강로 62 (조양동)
박이비인후과의원,3등급,대구광역시 수성구 청수로 200 (지산동)
박이비인후과의원,1등급,"부산광역시 해운대구 선수촌로 102-2 3층 (반여동, 부원메디칼센터)"
박이비인후과의원,1등급,서울특별시 동대문구 전농로 147 (전농동)
박이비인후과의원,1등급,"인천광역시 부평구 원적로 392 3층 (산곡동, 백마타운)"
박이비인후과의원,4등급,광주광역시 북구 하서로 414 4층 (양산동)
박이비인후과의원,1등급,"인천광역시 미추홀구 독배로 311 (403,404)호 (용현동, 비젼프라자)"
박이비인후과의원,5등급,경기도 남양주시 화도읍 마석중앙로 56-6 (화도읍)
박이비인후과의원,2등급,서울특별시 동작구 상도로 102 (상도동)
박이비인후과의원,1등급,"전라북도 군산시 월명로 260 201호 (수송동, 백산빌딩)"
박이비인후과의원,1등급,전라남도 목포시 영산로 78 (상락동2가)
박이비인후과의원,2등급,전라북도 전주시 완산구 소대배기로 22 (평화동2가)
박이비인후과의원,4등급,전라남도 광양시 중마중앙로 87-1 2층 (중동)
박인규내과의원,2등급,인천광역시 남동구 문화서로4번길 38 2층 (구월동)
박인수내과의원,1등급,대전광역시 중구 계백로 1568 (유천동)
박인수내과의원,2등급,"경기도 부천시 길주로 288 602호 (중동, 다운타운)"
박인승소아청소년과의원,1등급,경기도 부천시 은성로67번길 12 (소사본동)
박인조내과의원,1등급,"경상남도 창원시 마산회원구 3·15대로 743 (합성동, 경남외국어학원)"
박일랑내과의원,1등급,서울특별시 동대문구 장안벚꽃로 107 207호 (장안동)
박일주내과의원,3등급,전라북도 전주시 완산구 전라감영3길 19-1 (중앙동1가)
박자룡이비인후과의원,5등급,서울특별시 강남구 남부순환로 2615 212~213호 (도곡동)
박자용내과의원,1등급,"대구광역시 동구 안심로 58 3층 (율하동, 율하메디빌)"
박장근내과백수미소아청소년과의원,3등급,부산광역시 사하구 장림번영로 43 (장림동)
박장열의원,3등급,충청남도 보령시 목장3길 19 (동대동)
박재균이비인후과의원,5등급,서울특별시 양천구 등촌로 224 (목동)
박재본정형외과의원,1등급,경상남도 사천시 사천읍 진삼로 1458-6 (사천읍)
박재석내과의원,2등급,"경상남도 창원시 진해구 용원로 9 (용원동, 엠파이어빌딩 403호)"
박재석내과의원,1등급,부산광역시 북구 금곡대로 287 (화명동)
박재성내과의원,3등급,"경기도 시흥시 연성로 83 301,302호 (하상동, 현대프라자)"
박재영의원,1등급,경상남도 거제시 일운면 지세포4길 8-3 ()
박재영이비인후과의원,1등급,부산광역시 부산진구 서면로 74 1801호 (부전동)
박재한내과의원,2등급,전라남도 장흥군 장흥읍 중앙로 7 (장흥읍)
박재홍내과의원,1등급,인천광역시 남동구 인주대로 861 (만수동)
박정국내과의원,1등급,대구광역시 달서구 월곡로 184 3층 (상인동)
박정권소아청소년과의원,1등급,경상북도 칠곡군 석적읍 유학로 18 2층
박정근내과의원,1등급,서울특별시 관악구 난곡로 194 (신림동)
박정모내과  의원,2등급,대구광역시 남구 대명로 26 다온빌딩 2층 (대명동)
박정수소아청소년과의원,1등급,서울특별시 서초구 방배로 32 205호 (방배동)
박정숙소아청소년과의원,1등급,"부산광역시 해운대구 해운대해변로 83 401호 (우동, 경남마리나상가)"
